# of SOMs,# of classes,It-1,It-2,It-3,It-4,It-5,It-6,It-7,It-8
1,2,1.0,1.0,0.95,1.0,0.95,1.0,0.9,1.0
1,3,1.0,0.9333333333333333,1.0,0.9666666666666667,1.0,1.0,1.0,0.9333333333333333
1,4,0.925,1.0,0.975,1.0,1.0,1.0,0.925,1.0
1,5,0.94,0.9,0.98,0.98,0.94,0.92,0.96,1.0
1,6,0.95,0.7666666666666667,0.9,0.9166666666666666,0.7333333333333333,0.9833333333333333,0.95,0.9166666666666666
1,7,0.9571428571428572,0.9285714285714286,0.8571428571428571,0.9571428571428572,0.9,0.9285714285714286,0.8857142857142857,0.8285714285714286
1,8,0.8125,0.9,0.8875,0.8625,0.925,0.9875,0.8,0.85
1,9,0.8333333333333334,0.8777777777777778,0.8777777777777778,0.7888888888888889,0.8111111111111111,0.9,0.8,0.8777777777777778
1,10,0.77,0.89,0.86,0.83,0.87,0.81,0.84,0.92
1,11,0.7545454545454545,0.8272727272727273,0.8090909090909091,0.7727272727272727,0.8181818181818182,0.8909090909090909,0.6272727272727273,0.8454545454545455
1,12,0.9,0.8416666666666667,0.825,0.825,0.7666666666666667,0.7583333333333333,0.675,0.8583333333333333
1,13,0.8076923076923077,0.7538461538461538,0.7153846153846154,0.8153846153846154,0.7230769230769231,0.8307692307692308,0.7846153846153846,0.8076923076923077
1,14,0.75,0.8,0.8214285714285714,0.7285714285714285,0.7785714285714286,0.7785714285714286,0.75,0.7714285714285715
1,15,0.74,0.8,0.7666666666666667,0.74,0.6666666666666666,0.8133333333333334,0.7733333333333333,0.7666666666666667
1,16,0.7125,0.6,0.65,0.65,0.6875,0.775,0.70625,0.71875
1,17,0.7176470588235294,0.6352941176470588,0.711764705882353,0.6294117647058823,0.7058823529411765,0.788235294117647,0.7,0.6705882352941176
1,18,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6777777777777778,0.6555555555555556,0.7555555555555555,0.7555555555555555,0.6833333333333333
1,19,0.7052631578947368,0.6578947368421053,0.6263157894736842,0.6421052631578947,0.6789473684210526,0.7210526315789474,0.6473684210526316,0.6684210526315789
1,20,0.625,0.645,0.68,0.565,0.655,0.69,0.645,0.625
1,21,0.6666666666666666,0.6571428571428571,0.6142857142857143,0.5761904761904761,0.6666666666666666,0.6285714285714286,0.638095238095238,0.6238095238095238
